Index,Hour,Latitude,Longitude
136,23,40.65381516,-73.853205037
137,17,40.842328579000004,-73.885739479
138,01,40.68469984,-73.92474482600001
139,19,40.736984449,-73.809998125
140,07,40.738838819,-73.926700862
141,01,40.681803475,-73.923789039
142,08,40.694566924,-73.943244108
143,23,40.764463103000004,-73.831774379
144,04,40.67013835,-73.90892519399999
145,04,40.67013835,-73.90892519399999
146,21,40.692389705,-73.793764553
147,05,40.845984791,-73.907462791
148,05,40.845984791,-73.907462791
149,02,40.870142434,-73.86930540899999
150,01,40.831578538,-73.927697229
151,19,40.618091468,-74.02785231600001
152,06,40.839739531,-73.913178032
153,00,40.695140908,-73.975125947
154,01,40.689111202,-73.945058895
155,23,40.819856355,-73.920140835
156,20,40.67500776,-74.006577149
157,12,40.672789843000004,-73.773651622
158,04,40.764694063,-73.914348014
159,02,40.651998977,-73.94486962100001
160,02,40.815720251,-73.864502585
161,00,40.682140409,-73.826891092
162,00,40.863291106999995,-73.889806842
163,04,40.83797773,-73.88525545600001
164,00,40.680536156,-73.957086365
165,02,40.88443116,-73.833004197
166,02,40.801063787,-73.950481913
167,23,40.713211258,-73.983881015
168,14,40.682807656,-73.767816313
169,02,40.842271968,-73.905032007
170,00,40.676152237,-73.89306867399999
171,17,40.691103256999995,-73.91287755399999
172,16,40.814000554,-73.900780541
173,19,40.620759553,-74.01054859899999
174,02,40.670869804,-73.86317105
175,22,40.675727746,-73.921495901
176,21,40.66357893,-73.896646458
177,21,40.850660186999995,-73.908920209
178,08,40.669788059,-73.958293685
179,00,40.709186497,-73.81915607100001
180,23,40.81725838,-73.94040458100001
181,22,40.671025464,-73.906195082
182,16,40.872596004,-73.825563635
183,16,40.827871665,-73.864958422
184,18,40.860655553,-73.895006204
185,14,40.680494853,-73.86709561100001
186,03,40.825100443000004,-73.89485635
187,23,40.847277155,-73.910442906
188,22,40.666231521,-73.922538001
189,18,40.69969571,-73.98169156899999
190,18,40.786006915,-73.845738305
191,17,40.680096471999995,-73.912556632
192,06,40.886052491,-73.8614443
193,19,40.745435545999996,-73.864353209
194,02,40.671411663,-73.88151172399999
195,23,40.820261474,-73.897877215
196,22,40.816805565,-73.90726130600001
197,21,40.846741539,-73.906482233
198,21,40.684998930999996,-73.93844593
199,00,40.670846253,-73.868874019
200,21,40.693065804,-73.999543473
201,04,40.670206898,-73.923942878
202,00,40.679670066,-73.936136211
203,05,40.708909009,-73.965804097
204,01,40.722273155,-73.976342426
205,15,40.644754824,-74.087241385
206,22,40.696493892,-73.949430815
207,17,40.637804468,-73.942377197
208,01,40.670667775,-73.93233809
209,21,40.854120099,-73.888809888
210,10,40.638614237,-73.948267625
211,01,40.852841995,-73.88417431
212,06,40.685650525999996,-73.98048752300001
213,05,40.887313634,-73.847271758
214,21,40.829363293,-73.919045385
215,04,40.605163421,-73.75484779899999
216,22,40.734983188,-73.988054214
217,07,40.638335307,-74.164483967
218,05,40.761059062,-73.728041784
219,19,40.684069625,-73.75818135
220,17,40.859639663,-73.86323458
221,03,40.676064661,-74.00240969
222,05,40.81493989,-73.886592131
223,23,40.655621161999996,-73.919937382
224,19,40.642043072,-73.94960900699999
225,01,40.844350414000004,-73.815105671
226,15,40.725697698000005,-73.988239878
227,10,40.5580167,-74.130417978
228,05,40.654952417,-73.958000222
229,22,40.637223031,-73.91262722399999
230,22,40.841694933,-73.911108193
231,19,40.868587481,-73.88331168100001
232,05,40.818413984,-73.907277131
233,20,40.857082061999996,-73.901352508
234,02,40.671411663,-73.88151172399999
235,00,40.689491039,-73.908018925
236,23,40.817755155,-73.91801901
237,21,40.696979876,-73.792740591
238,10,40.836678228000004,-73.915596087
239,10,40.578510134,-73.934900975
240,10,40.663996333,-73.893848712
241,04,40.861063085,-73.893447414
242,22,40.820411063,-73.893331855
243,18,40.834571799,-73.88831495
244,11,40.699837274000004,-73.913089739
245,15,40.872845399,-73.898794425
246,06,40.835577916999995,-73.908803531
247,15,40.689097532,-73.925616087
248,22,40.686082215,-73.919233753
249,01,40.869588539,-73.900050398
250,06,40.847688805,-73.934930327
251,22,40.816366145,-73.86762631100001
252,02,40.801392385999996,-73.93271089
253,05,40.703499897,-73.76749538600001
254,01,40.740824511,-73.97426085800001
255,00,40.833450977,-73.943407506
256,22,40.727606514,-73.97781979
257,02,40.636818966999996,-74.118653127
258,22,40.665114175999996,-73.89167337800001
259,01,40.783898154,-73.950285241
260,00,40.816068266,-73.908552085
261,03,40.739095849,-73.896774703
262,22,40.857418359,-73.893706303
263,09,40.661821983,-73.996479956
264,02,40.811112268,-73.906344446
265,05,40.658196944000004,-73.958538808
266,23,40.574825477,-73.99092661
267,14,40.725980641,-73.99080140699999
268,18,40.527675213,-74.230216009
269,05,40.835718483,-73.85130395899999
270,16,40.796341237,-73.94119981600001
271,18,40.633486765,-74.163427185
272,18,40.633486765,-74.163427185
273,17,40.67432526,-73.888388621
274,07,40.812190348,-73.924206908
