Longitude,Latitude,Hour,Date,Location,Full_Time
-73.844630036,40.903468077,21,10/09/2016,INSIDE,21:14:00
-73.848069308,40.693415665,0,10/13/2016,INSIDE,00:47:00
-73.914248556,40.841944334000004,23,10/15/2016,OUTSIDE,23:30:00
-73.940537398,40.822262072,16,10/17/2016,OUTSIDE,16:32:00
-73.92161973600001,40.812699136999996,1,10/23/2016,OUTSIDE,01:50:00
-73.782447304,40.678469299999996,4,10/29/2016,OUTSIDE,04:15:00
-73.78431906,40.697233391,2,10/30/2016,OUTSIDE,02:13:00
-73.89205787,40.846278812,23,10/30/2016,OUTSIDE,23:40:00
-73.920393103,40.669372829000004,20,11/01/2016,OUTSIDE,20:49:00
-73.86620348699999,40.821455961999995,22,11/01/2016,OUTSIDE,22:40:00
-73.915383261,40.819320486,13,11/02/2016,OUTSIDE,13:25:00
-73.930051383,40.829952373000005,21,11/03/2016,OUTSIDE,21:14:00
-73.867194698,40.837129445,14,11/04/2016,OUTSIDE,14:45:00
-73.994536892,40.753532701,13,11/07/2016,INSIDE,13:20:00
-73.896646458,40.66357893,9,11/11/2016,INSIDE,09:28:00
-73.960843907,40.759150161,5,11/13/2016,INSIDE,05:30:00
-73.891862968,40.823876276,12,11/20/2016,INSIDE,12:30:00
-73.848497285,40.668529332,18,11/22/2016,INSIDE,18:25:00
-73.927430623,40.678435246,20,11/23/2016,OUTSIDE,20:30:00
-73.90817515100001,40.824798920999996,23,11/23/2016,OUTSIDE,23:59:00
-73.87846775199999,40.743417441999995,12,11/24/2016,OUTSIDE,12:15:00
-73.833872447,40.874180976,12,11/26/2016,INSIDE,12:00:00
-74.084955452,40.621066254,21,11/26/2016,OUTSIDE,21:07:00
-73.941710718,40.790325046999996,20,11/27/2016,INSIDE,20:30:00
-73.90158306100001,40.823423869,14,11/28/2016,OUTSIDE,14:50:00
-73.937527165,40.849776217,23,11/28/2016,INSIDE,23:19:00
-73.86424849,40.667533426999995,0,11/30/2016,OUTSIDE,00:43:00
-73.835460637,40.69119702,2,11/30/2016,INSIDE,02:00:00
-73.905388469,40.667862819,10,11/30/2016,OUTSIDE,10:24:00
-73.837040057,40.841690923,19,12/01/2016,INSIDE,19:00:00
-73.913256606,40.837683801,20,12/03/2016,INSIDE,20:35:00
-73.91401678300001,40.626986011,21,12/04/2016,OUTSIDE,21:17:00
-73.820854715,40.689141332,0,12/05/2016,OUTSIDE,00:15:00
