CMPLNT_FR_DT,CMPLNT_FR_TM,OFNS_DESC,LOC_OF_OCCUR_DESC,Latitude,Longitude
09/28/2015,14:45:00,MURDER & NON-NEGL. MANSLAUGHTER,OUTSIDE,40.860330983,-73.910461479
09/27/2015,16:41:00,MURDER & NON-NEGL. MANSLAUGHTER,OUTSIDE,40.801755583,-73.934260057
09/26/2015,05:43:00,MURDER & NON-NEGL. MANSLAUGHTER,INSIDE,40.70998449,-73.996441344
09/26/2015,02:00:00,MURDER & NON-NEGL. MANSLAUGHTER,OUTSIDE,40.828873725,-73.906803648
09/25/2015,15:05:00,MURDER & NON-NEGL. MANSLAUGHTER,OUTSIDE,40.596579945,-73.907941661
09/21/2015,01:26:00,MURDER & NON-NEGL. MANSLAUGHTER,OUTSIDE,40.844139945,-73.900388618
09/20/2015,14:49:00,MURDER & NON-NEGL. MANSLAUGHTER,OUTSIDE,40.865028541,-73.892761364
09/20/2015,01:40:00,MURDER & NON-NEGL. MANSLAUGHTER,OUTSIDE,40.694219964,-73.982118597
09/20/2015,01:40:00,MURDER & NON-NEGL. MANSLAUGHTER,OUTSIDE,40.694219964,-73.982118597
09/20/2015,01:40:00,MURDER & NON-NEGL. MANSLAUGHTER,OUTSIDE,40.694219964,-73.982118597
09/19/2015,22:35:00,MURDER & NON-NEGL. MANSLAUGHTER,OUTSIDE,40.795814831,-73.937101065
09/19/2015,19:56:00,MURDER & NON-NEGL. MANSLAUGHTER,OUTSIDE,40.844910096,-73.89009752
09/19/2015,17:40:00,MURDER & NON-NEGL. MANSLAUGHTER,OUTSIDE,40.649944446,-73.961599914
09/17/2015,00:51:00,MURDER & NON-NEGL. MANSLAUGHTER,OUTSIDE,40.67135982,-73.881811023
09/16/2015,17:42:00,MURDER & NON-NEGL. MANSLAUGHTER,OUTSIDE,40.849426787,-73.911123163
09/15/2015,15:06:00,MURDER & NON-NEGL. MANSLAUGHTER,INSIDE,40.821799082,-73.919372536
09/14/2015,21:30:00,MURDER & NON-NEGL. MANSLAUGHTER,OUTSIDE,40.819435344,-73.911174055
09/14/2015,21:09:00,MURDER & NON-NEGL. MANSLAUGHTER,OUTSIDE,40.641891984,-74.006498214
09/12/2015,05:33:00,MURDER & NON-NEGL. MANSLAUGHTER,OUTSIDE,40.593024716,-73.979088719
09/11/2015,12:03:00,MURDER & NON-NEGL. MANSLAUGHTER,INSIDE,40.598672939,-73.757903666
09/10/2015,23:17:00,MURDER & NON-NEGL. MANSLAUGHTER,OUTSIDE,40.778722235,-73.812341547
09/09/2015,19:03:00,MURDER & NON-NEGL. MANSLAUGHTER,OUTSIDE,40.674459245,-73.938909896
09/08/2015,16:15:00,MURDER & NON-NEGL. MANSLAUGHTER,INSIDE,40.754119792,-73.990212802
09/08/2015,12:15:00,MURDER & NON-NEGL. MANSLAUGHTER,OUTSIDE,40.760673895,-73.971567543
09/07/2015,03:42:00,MURDER & NON-NEGL. MANSLAUGHTER,OUTSIDE,40.665022689,-73.957110763
09/07/2015,02:05:00,MURDER & NON-NEGL. MANSLAUGHTER,OUTSIDE,40.67294517,-73.968926431
09/05/2015,20:24:00,MURDER & NON-NEGL. MANSLAUGHTER,OUTSIDE,40.674293444,-73.961766148
09/05/2015,16:40:00,MURDER & NON-NEGL. MANSLAUGHTER,OUTSIDE,40.750189437,-73.890084153
09/04/2015,05:07:00,MURDER & NON-NEGL. MANSLAUGHTER,OUTSIDE,40.66416202,-73.94681682
09/04/2015,01:30:00,MURDER & NON-NEGL. MANSLAUGHTER,OUTSIDE,40.798146087,-73.950357672
09/04/2015,00:12:00,MURDER & NON-NEGL. MANSLAUGHTER,OUTSIDE,40.673341037,-73.932083027
09/01/2015,03:45:00,MURDER & NON-NEGL. MANSLAUGHTER,OUTSIDE,40.824747205,-73.898853125
08/31/2015,21:34:00,MURDER & NON-NEGL. MANSLAUGHTER,INSIDE,40.632801597,-73.950127585
08/30/2015,20:53:00,MURDER & NON-NEGL. MANSLAUGHTER,OUTSIDE,40.595113613,-73.759540532
08/30/2015,20:46:00,MURDER & NON-NEGL. MANSLAUGHTER,OUTSIDE,40.827888685,-73.875191502
08/29/2015,05:00:00,MURDER & NON-NEGL. MANSLAUGHTER,OUTSIDE,40.772875746,-73.930024683
08/28/2015,22:00:00,MURDER & NON-NEGL. MANSLAUGHTER,INSIDE,40.718564066,-73.988201454
08/28/2015,01:54:00,MURDER & NON-NEGL. MANSLAUGHTER,INSIDE,40.659144599,-73.960542179
08/26/2015,22:15:00,MURDER & NON-NEGL. MANSLAUGHTER,OUTSIDE,40.595492369,-73.93515808
08/26/2015,13:19:00,MURDER & NON-NEGL. MANSLAUGHTER,OUTSIDE,40.851316088,-73.902116523
08/25/2015,11:05:00,MURDER & NON-NEGL. MANSLAUGHTER,INSIDE,40.889320349,-73.900302836
08/24/2015,04:03:00,MURDER & NON-NEGL. MANSLAUGHTER,OUTSIDE,40.699696503,-73.912051269
08/24/2015,00:50:00,MURDER & NON-NEGL. MANSLAUGHTER,OUTSIDE,40.703858516,-73.944375903
08/23/2015,21:55:00,MURDER & NON-NEGL. MANSLAUGHTER,OUTSIDE,40.634630918,-73.953199509
08/22/2015,07:30:00,MURDER & NON-NEGL. MANSLAUGHTER,INSIDE,40.70122876,-73.92461076
08/22/2015,06:05:00,MURDER & NON-NEGL. MANSLAUGHTER,INSIDE,40.869173391,-73.890220123
08/22/2015,04:00:00,MURDER & NON-NEGL. MANSLAUGHTER,INSIDE,40.671926733,-73.930833555
08/22/2015,01:23:00,MURDER & NON-NEGL. MANSLAUGHTER,INSIDE,40.83246995,-73.90424377
08/21/2015,17:07:00,MURDER & NON-NEGL. MANSLAUGHTER,INSIDE,40.728250797,-74.005373732
08/21/2015,08:10:00,MURDER & NON-NEGL. MANSLAUGHTER,OUTSIDE,40.804046007,-73.936620103
08/20/2015,16:00:00,MURDER & NON-NEGL. MANSLAUGHTER,OUTSIDE,40.875311451,-73.847545211
08/17/2015,06:17:00,MURDER & NON-NEGL. MANSLAUGHTER,OUTSIDE,40.697378708,-73.917842458
08/16/2015,22:15:00,MURDER & NON-NEGL. MANSLAUGHTER,OUTSIDE,40.648706769,-73.905130941
08/16/2015,04:53:00,MURDER & NON-NEGL. MANSLAUGHTER,OUTSIDE,40.704517669,-73.771336588
08/16/2015,03:06:00,MURDER & NON-NEGL. MANSLAUGHTER,INSIDE,40.694203859,-73.908077335
08/16/2015,02:50:00,MURDER & NON-NEGL. MANSLAUGHTER,OUTSIDE,40.835504619,-73.939188456
08/15/2015,07:49:00,MURDER & NON-NEGL. MANSLAUGHTER,OUTSIDE,40.690491796,-73.939533459
08/14/2015,04:46:00,MURDER & NON-NEGL. MANSLAUGHTER,OUTSIDE,40.672132666,-73.907498517
08/13/2015,20:14:00,MURDER & NON-NEGL. MANSLAUGHTER,OUTSIDE,40.660816444,-73.915281553
08/08/2015,20:42:00,MURDER & NON-NEGL. MANSLAUGHTER,OUTSIDE,40.676089523,-73.906126672
08/07/2015,18:29:00,MURDER & NON-NEGL. MANSLAUGHTER,OUTSIDE,40.636762182,-73.920576127
08/07/2015,04:00:00,MURDER & NON-NEGL. MANSLAUGHTER,INSIDE,40.701171248,-73.835266514
08/05/2015,01:19:00,MURDER & NON-NEGL. MANSLAUGHTER,INSIDE,40.715543594,-73.747764689
08/04/2015,13:20:00,MURDER & NON-NEGL. MANSLAUGHTER,INSIDE,40.829659361,-73.904244201
08/02/2015,02:20:00,MURDER & NON-NEGL. MANSLAUGHTER,OUTSIDE,40.693801303,-73.974405224
